# s W_0 W_1 W_2 W_3 W_4
12.022600 0.984778 0.009005 -0.004783 -0.000052 0.000769
12.161900 0.984471 0.009108 -0.004885 -0.000054 0.000802
12.302700 0.984164 0.009211 -0.004990 -0.000055 0.000837
12.445100 0.983848 0.009316 -0.005096 -0.000057 0.000873
12.589300 0.983527 0.009422 -0.005205 -0.000059 0.000910
12.735000 0.983202 0.009528 -0.005316 -0.000061 0.000949
12.882500 0.982867 0.009637 -0.005428 -0.000063 0.000989
13.031700 0.982533 0.009746 -0.005543 -0.000065 0.001031
13.182600 0.982189 0.009856 -0.005660 -0.000068 0.001075
13.335200 0.981846 0.009968 -0.005780 -0.000070 0.001121
13.489600 0.981493 0.010081 -0.005901 -0.000072 0.001168
13.645800 0.981135 0.010195 -0.006025 -0.000075 0.001217
13.803800 0.980773 0.010311 -0.006151 -0.000077 0.001268
13.963700 0.980407 0.010427 -0.006280 -0.000080 0.001322
14.125400 0.980031 0.010545 -0.006411 -0.000082 0.001377
14.288900 0.979655 0.010664 -0.006544 -0.000085 0.001434
